sample_idx,is_anchor,is_sim,cos_to_anchor,z_l2_to_anchor,true_digit,true_bin_label,pred_bin_label,same_digit_as_anchor,same_bin_as_anchor
0,0,0,0.2759133577346802,6.569582939147949,7,1,1,0,0
1,0,0,0.8347787857055664,6.513157844543457,2,0,0,1,1
2,0,0,0.808188796043396,6.676880359649658,1,0,0,0,1
3,0,0,0.589030921459198,6.406147480010986,0,0,0,0,1
4,0,0,0.5311431288719177,7.187361240386963,4,0,0,0,1
5,0,0,0.6483129262924194,6.558652400970459,1,0,0,0,1
6,0,0,0.2460077404975891,7.172889709472656,4,0,0,0,1
7,0,0,0.6510847210884094,6.924601078033447,9,1,1,0,0
8,0,0,0.32285377383232117,8.299739837646484,5,1,1,0,0
9,0,0,0.41588327288627625,6.525928974151611,9,1,1,0,0
10,0,0,0.7514694333076477,7.664525032043457,0,0,0,0,1
11,0,0,0.7645490169525146,6.862939357757568,6,1,1,0,0
12,0,0,0.4038781523704529,6.918198585510254,9,1,1,0,0
13,0,0,0.6344183683395386,8.208845138549805,0,0,0,0,1
14,0,0,0.7030407190322876,6.718749046325684,1,0,0,0,1
15,0,0,0.8427938222885132,6.772388935089111,5,1,1,0,0
16,0,0,0.3912618160247803,6.391037940979004,9,1,1,0,0
17,0,0,0.3347826898097992,6.676326751708984,7,1,1,0,0
18,0,0,0.8436177968978882,6.762523651123047,3,0,0,0,1
19,0,0,0.15432186424732208,7.214572906494141,4,0,0,0,1
20,0,0,0.49639829993247986,6.711172103881836,9,1,1,0,0
21,0,0,0.8699735403060913,6.957414627075195,6,1,1,0,0
22,0,0,0.7964510321617126,6.402621269226074,6,1,1,0,0
23,0,0,0.4561660885810852,6.862175464630127,5,1,1,0,0
24,0,0,0.1753200888633728,7.115935325622559,4,0,0,0,1
25,0,0,0.5739591717720032,11.433544158935547,0,0,0,0,1
26,0,0,0.12049204111099243,6.938810348510742,7,1,1,0,0
27,0,0,0.5404716730117798,7.221564292907715,4,0,0,0,1
28,0,0,0.6649397611618042,7.7607011795043945,0,0,0,0,1
29,0,0,0.7082258462905884,7.027482509613037,1,0,0,0,1
30,0,0,0.4710785746574402,6.83519983291626,3,0,0,0,1
31,0,0,0.6775716543197632,7.043735504150391,1,0,0,0,1
32,0,0,0.6871487498283386,6.837413787841797,3,0,0,0,1
33,0,0,0.6592780351638794,7.086967468261719,4,0,0,0,1
34,0,0,0.4265672564506531,5.929803848266602,7,1,1,0,0
35,0,0,0.8553342819213867,7.196270942687988,2,0,0,1,1
36,0,0,0.28267771005630493,6.531320571899414,7,1,1,0,0
37,0,0,0.6493636965751648,6.966986656188965,1,0,0,0,1
38,0,1,0.9106298685073853,6.1238603591918945,2,0,0,1,1
39,0,0,0.7438991069793701,6.638110637664795,1,0,0,0,1
40,0,0,0.6754818558692932,7.028541088104248,1,0,0,0,1
41,0,0,0.39454662799835205,6.204176902770996,7,1,1,0,0
42,0,0,0.09804441034793854,7.176632404327393,4,0,0,0,1
43,0,1,0.9183770418167114,6.835944175720215,2,0,0,1,1
44,0,0,0.7557187080383301,6.69767951965332,3,0,0,0,1
45,0,0,0.7273866534233093,6.8549933433532715,5,1,1,0,0
46,0,0,0.7356706857681274,6.993081569671631,1,0,0,0,1
47,0,0,0.8002548217773438,6.448953628540039,2,0,0,1,1
48,0,0,0.18877270817756653,7.2214274406433105,4,0,0,0,1
49,0,0,0.4970242381095886,7.16804838180542,4,0,0,0,1
50,0,1,0.913447380065918,6.939993858337402,6,1,1,0,0
51,0,0,0.6252549886703491,6.490254878997803,3,0,0,0,1
52,0,0,0.3808456063270569,6.998945236206055,5,1,1,0,0
53,0,0,0.7947102189064026,6.853049278259277,5,1,1,0,0
54,0,0,0.8602256774902344,6.472778797149658,6,1,1,0,0
55,0,0,0.6147438883781433,7.115485668182373,0,0,0,0,1
56,0,0,0.49681803584098816,7.228488445281982,4,0,0,0,1
57,0,0,0.7377854585647583,6.7306013107299805,1,0,0,0,1
58,0,0,0.389121413230896,6.850841045379639,9,1,1,0,0
59,0,0,0.32636985182762146,7.049853801727295,5,1,1,0,0
60,0,0,0.27865973114967346,7.845359802246094,7,1,1,0,0
61,0,0,0.5482526421546936,6.415518283843994,8,1,1,0,0
62,0,0,0.36649906635284424,6.620138168334961,9,1,1,0,0
63,0,0,0.6362393498420715,5.989476203918457,3,0,0,0,1
64,0,0,0.5487576127052307,6.67714262008667,7,1,1,0,0
65,0,0,0.46200019121170044,7.064711570739746,4,0,0,0,1
66,0,0,0.735040009021759,6.444764614105225,6,1,1,0,0
67,0,0,0.3326260447502136,7.214492321014404,4,0,0,0,1
68,0,0,0.23621660470962524,6.2967939376831055,3,0,0,0,1
69,0,0,0.506031334400177,7.335383892059326,0,0,0,0,1
70,0,0,0.20139673352241516,7.271564960479736,7,1,1,0,0
71,0,0,0.7866767644882202,9.053576469421387,0,0,0,0,1
72,0,1,0.9428496360778809,7.433858871459961,2,0,0,1,1
73,0,0,0.5643271803855896,6.269580364227295,9,1,1,0,0
74,0,0,0.6114532947540283,6.913835048675537,1,0,0,0,1
75,0,0,0.3336646556854248,6.657925605773926,7,1,1,0,0
76,0,0,0.6512370109558105,6.754537105560303,3,0,0,0,1
77,0,0,0.46342232823371887,6.4340500831604,2,0,0,1,1
78,0,0,0.5345271229743958,6.60256814956665,9,1,1,0,0
79,0,0,0.39631062746047974,6.64408016204834,7,1,1,0,0
80,0,0,0.10790016502141953,7.123010635375977,7,1,1,0,0
81,0,0,0.8717103004455566,7.501133918762207,6,1,1,0,0
82,0,1,0.9426116943359375,6.905067443847656,2,0,0,1,1
83,0,0,0.0819072276353836,6.7682318687438965,7,1,1,0,0
84,0,0,0.6128642559051514,6.652997016906738,8,1,1,0,0
85,0,0,0.16980420053005219,7.211236476898193,4,0,0,0,1
86,0,0,0.47234046459198,6.059991836547852,7,1,1,0,0
87,0,0,0.6939978003501892,6.832540035247803,3,0,0,0,1
88,0,0,0.7674276828765869,7.228463649749756,6,1,1,0,0
89,0,0,0.8079771995544434,6.406301975250244,1,0,0,0,1
90,0,0,0.39096492528915405,6.705532550811768,3,0,0,0,1
91,0,1,0.9344667196273804,7.288908958435059,6,1,1,0,0
92,0,0,0.4886186420917511,6.909947395324707,9,1,0,0,0
93,0,0,0.5140402913093567,6.530068874359131,3,0,0,0,1
94,0,0,0.7008083462715149,6.7035908699035645,1,0,0,0,1
95,0,0,0.45486313104629517,6.443096160888672,4,0,0,0,1
96,0,0,0.6883543133735657,7.080772876739502,1,0,0,0,1
97,0,0,0.6257103085517883,6.467827796936035,7,1,1,0,0
98,0,1,0.9069668650627136,6.887523651123047,6,1,1,0,0
99,0,0,0.18271589279174805,6.744187831878662,9,1,1,0,0
100,0,0,0.8033265471458435,6.709193706512451,6,1,1,0,0
101,0,0,0.5522236824035645,7.881277084350586,0,0,0,0,1
102,0,0,0.3531620502471924,6.877449989318848,5,1,1,0,0
103,0,0,0.3693091869354248,7.210267543792725,4,0,0,0,1
104,0,0,0.30449554324150085,6.529038906097412,9,1,1,0,0
105,0,0,0.25419798493385315,6.716761589050293,9,1,1,0,0
106,0,1,0.9711123704910278,6.307811737060547,2,0,0,1,1
107,0,0,0.7251673936843872,6.802150726318359,1,0,0,0,1
108,0,0,0.12748950719833374,7.743306636810303,9,1,1,0,0
109,0,0,0.4913461208343506,7.102322101593018,4,0,0,0,1
110,0,0,0.6867568492889404,7.178380966186523,8,1,1,0,0
111,0,0,0.6389870643615723,6.339266300201416,7,1,1,0,0
112,0,0,0.5162802934646606,6.744978904724121,3,0,0,0,1
113,0,0,0.13168054819107056,7.104285717010498,9,1,1,0,0
114,0,0,0.6437034010887146,6.528748989105225,7,1,1,0,0
115,0,0,0.597665548324585,6.629532814025879,4,0,0,0,1
116,0,0,0.46822285652160645,7.184395790100098,4,0,0,0,1
117,0,0,0.5384904146194458,7.226660251617432,4,0,0,0,1
118,0,0,0.3991389274597168,6.6215386390686035,9,1,1,0,0
119,0,0,0.583540678024292,6.106387615203857,2,0,0,1,1
120,0,0,0.4831162095069885,6.301037311553955,5,1,1,0,0
121,0,0,0.5765520334243774,6.95327091217041,4,0,0,0,1
122,0,0,0.3613019287586212,6.85788106918335,7,1,1,0,0
123,0,1,0.9371548295021057,6.7531585693359375,6,1,1,0,0
