dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
0,1.6564133886731724e-07,2.9387544842052193e-08,1.3625378869619453e-07
1,6.357312543059379e-08,2.6513710338349483e-08,3.705941509224431e-08
2,1.1196357974085913e-07,3.1816689727293124e-08,8.014689001356601e-08
3,5.609142661455735e-08,1.407679235398973e-07,-8.467650047805364e-08
4,6.357652893029808e-08,5.392520563418657e-08,9.651323296111514e-09
5,5.0301803611318974e-08,2.9650875532638565e-08,2.065092807868041e-08
6,6.809339225810618e-08,4.637466943790969e-08,2.171872282019649e-08
7,1.3406294385731599e-07,3.697247663581038e-08,9.709046366879193e-08
8,1.3275833055104158e-07,4.473772108326557e-08,8.802061302048969e-08
9,8.772296666847978e-08,3.7160749144504734e-08,5.056221752397505e-08
10,2.0362577402011084e-07,3.447818031077077e-08,1.6914759726205375e-07
11,3.5933805975219e-07,1.1511450992429673e-07,2.4422354272246594e-07
12,8.433485021441811e-08,4.200148140398596e-08,4.233336881043215e-08
13,1.6881845965599496e-07,5.193677665715768e-08,1.168816794461236e-07
14,1.5290449084659485e-07,3.309333962420169e-08,1.1981114766967949e-07
15,2.4410869059465767e-07,2.0187384208725234e-08,2.239213046095756e-07
16,1.0840752651120056e-07,5.393641799855686e-08,5.4471108512643696e-08
17,8.847238319731332e-08,2.8410733321493353e-08,6.00616516521768e-08
18,1.6567734917316557e-07,1.1115832698749273e-08,1.5456151913895155e-07
19,6.719054823633996e-08,3.958027861017399e-08,2.7610269626165973e-08
20,1.0185964072206843e-07,5.1612470741702055e-08,5.024716998036638e-08
21,6.916557282465874e-08,3.2833924024089356e-08,3.633164880056938e-08
22,2.571195523159986e-07,1.7118635398105653e-08,2.400009293523908e-07
23,1.8787675060139009e-07,3.617219945795114e-08,1.5170455469615263e-07
24,1.8797673817516625e-07,3.890745148282804e-08,1.4906927958691085e-07
25,5.7882225235061924e-08,4.103955220102762e-08,1.6842673034034306e-08
26,8.570066967195089e-08,4.6552976584735006e-08,3.9147693087215885e-08
27,2.7617224418463593e-07,2.231805140695542e-08,2.5385418211953947e-07
28,2.9192256079113577e-07,8.697971054516529e-08,2.0494285024597048e-07
29,3.706328044472684e-08,6.667363550150185e-08,-2.9610355056775006e-08
30,1.8333355455979472e-07,2.7784114564610718e-08,1.5554944354789768e-07
31,3.133849872938299e-07,3.767251044450859e-08,2.757124661911803e-07
32,5.7407799403108584e-08,1.1834215740691434e-07,-6.093435445109208e-08
33,9.10273172394227e-08,2.9268676371430047e-08,6.175864086799265e-08
34,1.4182897700720787e-07,4.517779217394491e-08,9.665118483326296e-08
35,4.4811425681245964e-08,3.775091172997236e-08,7.060513951273606e-09
36,5.953050958851236e-07,1.7246085448618942e-08,5.780590299764299e-07
37,1.3698297607334098e-07,2.0645549270170704e-08,1.1633742502681343e-07
38,5.732606211950042e-08,5.1624283514684066e-08,5.701778604816354e-09
39,2.415465303329256e-07,3.729125097606811e-08,2.0425528646228486e-07
40,2.3899943357719167e-07,6.135390151484899e-08,1.7764553206234268e-07
41,1.6245458311914263e-07,4.394276587049717e-08,1.1851182080135914e-07
42,1.987646669476817e-07,3.443348717269146e-08,1.643311833277039e-07
43,6.607747593534441e-08,3.837123330185932e-08,2.770624263348509e-08
44,5.5468717619078234e-08,2.307746171936742e-08,3.2391255899710814e-08
45,5.980372463909589e-08,1.76711125732254e-07,-1.1690740109315811e-07
46,1.3732071124650247e-07,1.0633626601475044e-07,3.0984445231752034e-08
47,1.1542297784217226e-07,7.728275619456326e-08,3.8140221647608996e-08
48,1.672164415822408e-07,1.804078308964563e-08,1.4917566204530885e-07
49,2.2662302967546566e-07,2.3107412872036548e-08,2.035156114743586e-07
50,3.118341567187599e-07,3.8109750022385924e-08,2.7372439603823295e-07
51,1.2146092842613143e-07,7.175118810209824e-08,4.970974032403319e-08
52,9.570470638209372e-08,4.6354951876992345e-08,4.934975450510137e-08
53,9.505723852498704e-08,4.6349114768418076e-08,4.8708123756568966e-08
54,5.418750603780609e-08,3.289441607989829e-08,2.1293089957907796e-08
55,1.0687736562431382e-07,4.5341291610156986e-08,6.153607046144316e-08
56,9.702437608893888e-08,2.7117005529930793e-08,6.990737233536493e-08
57,1.6888222376110207e-07,2.9660210287829614e-08,1.3922200992055878e-07
58,2.0812366585687414e-07,5.967871885559362e-08,1.4844493989585317e-07
59,7.12326198026858e-08,6.098719751435056e-08,1.0245422288335249e-08
60,2.5187677010762854e-07,2.1329855215412863e-08,2.3054691666857252e-07
61,7.225384024422965e-08,3.588755603800564e-08,3.636628420622401e-08
62,2.1948807216176647e-07,2.5766336619881258e-08,1.9372173198917153e-07
63,9.344154250356951e-08,8.665730177881414e-08,6.784240724755364e-09
64,1.4702689554724202e-07,5.281939507995048e-08,9.420750046729154e-08
65,3.721458696759328e-08,7.193946771621995e-08,-3.4724880748626674e-08
66,1.0402705896694897e-07,9.88995125794645e-08,5.127546387484472e-09
67,4.642981110691835e-08,2.5762258104577995e-08,2.0667553002340355e-08
68,2.9719231520175526e-07,5.66750486541423e-08,2.4051726654761296e-07
69,1.5882365289598965e-07,6.499065818843519e-08,9.383299470755446e-08
70,1.330884202843663e-07,4.0490082398036975e-08,9.2598341439043e-08
71,1.804279037287415e-07,6.188489720670987e-08,1.1854300652203165e-07
72,1.2484747458074708e-07,1.9204680512530103e-08,1.0564279762093065e-07
73,2.966090448808245e-07,1.8643447674548952e-08,2.7796559720627556e-07
74,1.3343257876385906e-07,3.5046056723331276e-08,9.838652204052778e-08
75,3.976334141952975e-07,1.4833491768229123e-08,3.8279992509160365e-07
76,1.1764383600620931e-07,1.6886279041727903e-08,1.0075756051719509e-07
77,1.0625113588957902e-07,6.381049644232917e-08,4.244063944724985e-08
78,1.5060284397350188e-07,3.7113924378218144e-08,1.1348892314799741e-07
79,6.884994263600674e-08,3.750939470137382e-08,3.134054793463292e-08
80,8.391844374955326e-08,4.040082401957079e-08,4.351761972998247e-08
81,1.3224705242009804e-07,4.5506858725730126e-08,8.674019369436792e-08
82,2.1546541972838895e-07,7.04106497551038e-08,1.4505476997328515e-07
83,1.0624586366247968e-07,4.041184453740243e-08,6.583401557236357e-08
84,8.892426706097467e-08,5.0707246401771044e-08,3.8217020659203627e-08
85,1.72337664139377e-07,5.396039171046141e-08,1.183772724289156e-07
86,1.0869719346828788e-07,3.8125890000628715e-08,7.057130346765916e-08
87,1.6635878807846893e-07,4.374766149339848e-08,1.2261112658507045e-07
88,2.212019580838387e-07,3.646375645871558e-08,1.8473819807240943e-07
89,8.639506177132716e-08,2.465125703565718e-08,6.174380473566998e-08
90,1.2394492898692988e-07,1.2174689345556544e-07,2.1980355313644395e-09
91,6.226484572380286e-08,4.1924000271365e-08,2.034084545243786e-08
92,7.236899790541429e-08,4.269986675353721e-08,2.9669131151877082e-08
93,3.9801719253773626e-08,3.093039779855644e-08,8.871321455217185e-09
94,2.124172624462517e-07,1.0433684138888566e-07,1.0808042105736604e-07
95,1.7956034525923315e-07,2.4280092603135017e-08,1.552802473270276e-07
96,8.187166145035008e-08,7.869707019381167e-08,3.174591256538406e-09
97,2.629018922561954e-07,4.6997993052855236e-08,2.159038956506265e-07
98,6.997900925398426e-08,3.709475038249366e-08,3.28842588714906e-08
99,5.628637111954049e-08,3.9416949704218496e-08,1.6869421415321995e-08
100,1.6161085625299165e-07,5.423548188332461e-08,1.0737537081695336e-07
101,1.8753483743694233e-07,7.204918972547603e-08,1.154856477114663e-07
102,2.204152451668051e-07,1.1615613360049792e-08,2.0879963358311215e-07
103,2.444903088871797e-07,2.7789889500695608e-08,2.1670041405741358e-07
104,1.281645580775148e-07,4.1457472121919636e-08,8.670708950830885e-08
