dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
0,2.771305673832103e-07,1.2532958635347313e-06,5.1517250909682843e-08,1.814478594042157e-07,2.256133910805147e-07,1.083578013094666e-06,59
1,1.242986655825007e-07,6.156399194878759e-07,5.24525987088964e-08,1.9397809580823377e-07,7.184608818988636e-08,4.3650052816701645e-07,59
2,2.1685960405193327e-07,9.708427342047798e-07,4.5842138973739566e-08,1.6250808698714536e-07,1.7101741889291588e-07,8.18436774352449e-07,59
3,1.4882718346598267e-07,7.496279295082786e-07,1.5504491557294386e-07,5.009022174817801e-07,-6.217739212388551e-09,3.394107750409603e-07,59
4,1.0219715562698184e-07,4.928688781546953e-07,9.291342450978846e-08,3.0663537131658813e-07,9.283733781728642e-09,2.394707792063855e-07,59
5,1.2344281685727765e-07,6.21599781425175e-07,5.370098321577643e-08,1.938550155955454e-07,6.974185140506961e-08,4.433480853549554e-07,59
6,1.3295127132550988e-07,6.603596034437942e-07,7.158421766462197e-08,2.3810871141449752e-07,6.136703945003319e-08,4.4862170511805743e-07,59
7,3.1035628467179777e-07,1.422841705789324e-06,6.543854169649421e-08,2.020559151105772e-07,2.4491765771017526e-07,1.24312771276891e-06,59
8,2.2382860720426834e-07,1.070694338523026e-06,5.535083857921563e-08,1.814992600657206e-07,1.684776833599244e-07,9.089571335607616e-07,59
9,1.808662233315772e-07,9.079300866687845e-07,6.185337042552419e-08,1.95884936715629e-07,1.1901284580062566e-07,7.358438551818836e-07,59
10,3.1986778026293905e-07,1.4465781532635447e-06,5.640475464474548e-08,1.8961983982990205e-07,2.6346299364377046e-07,1.27037651509454e-06,59
11,5.292115474730963e-07,1.978150066861417e-06,1.2702902552064188e-07,4.092678409506334e-07,4.0218245089818083e-07,1.608440356903884e-06,59
12,1.76990354816553e-07,9.337573487755435e-07,7.346423558374227e-08,2.499813263057149e-07,1.035261263382381e-07,7.105605845936225e-07,59
13,2.8876712576675345e-07,1.3290007245814195e-06,9.683446222652492e-08,3.4254662750754505e-07,1.9193271327822004e-07,1.009007974062115e-06,59
14,2.668882359557756e-07,1.1917253459614585e-06,5.769664923604978e-08,2.1242355785489053e-07,2.09191540534448e-07,9.90981220638787e-07,59
15,3.406007635931019e-07,1.5299257256629062e-06,4.4584638203559734e-08,1.4730976261034812e-07,2.96016082756978e-07,1.3983533335704124e-06,59
16,1.9807382045655686e-07,9.844249007073813e-07,7.453974149029818e-08,2.436834733998694e-07,1.2353407896625868e-07,7.665146881663532e-07,59
17,1.70301177604415e-07,8.24627818474255e-07,4.525192309756676e-08,1.569025869230245e-07,1.250493113502671e-07,6.815792517045338e-07,59
18,2.498871083389531e-07,1.2146849712735275e-06,2.683243849332939e-08,9.299711933863364e-08,2.230546414239143e-07,1.1307371323709958e-06,59
19,1.6914150080538093e-07,8.847380286169937e-07,6.191098123053962e-08,2.1279393536133284e-07,1.0723052668026867e-07,6.916067718520935e-07,59
20,1.8136458379558462e-07,8.340286967722932e-07,8.314385269159175e-08,2.771757294794952e-07,9.822070268228345e-08,5.870904828952916e-07,59
21,1.3512169516616268e-07,7.041621756798122e-07,4.955649401949813e-08,1.6997645957417262e-07,8.556519759395087e-08,5.526804329747392e-07,59
22,3.3205898830601654e-07,1.4238803487387486e-06,3.920768776310979e-08,1.4410882442916773e-07,2.928512401467742e-07,1.28804640553426e-06,59
23,3.2514827807972324e-07,1.4630556961492402e-06,6.179806177897262e-08,1.925655510603974e-07,2.6335015945733176e-07,1.2939688076585298e-06,59
24,2.7081640041615174e-07,1.3059182037977735e-06,8.223039316135328e-08,2.790409325825749e-07,1.885859859385164e-07,1.0524230447117588e-06,59
25,1.3237266216492571e-07,6.777352723474905e-07,8.247857863352692e-08,2.803244001370331e-07,4.989405866240304e-08,4.3007247541027027e-07,59
26,1.8909666721356189e-07,8.661752417538082e-07,6.565943522218731e-08,1.9771145787217392e-07,1.2343720356966514e-07,6.931732059456408e-07,59
27,4.258135390955431e-07,1.865210606410983e-06,4.274675191595634e-08,1.5375636053249764e-07,3.830666912563174e-07,1.7199630519826314e-06,59
28,4.3096341073578515e-07,1.794388253983925e-06,1.2397956083987083e-07,3.761228697385377e-07,3.069838214742049e-07,1.4678072375318152e-06,59
29,9.647703791415552e-08,4.823573931389546e-07,1.240313167727436e-07,4.2574535541461955e-07,-2.7554264647733362e-08,1.6361993004920805e-07,59
30,3.1465017968912434e-07,1.4562763226422248e-06,5.7736738057201364e-08,2.1329472588149656e-07,2.5691346650091873e-07,1.2530916819741833e-06,59
31,4.3853978581864794e-07,1.9623942080215784e-06,5.0309942878357106e-08,1.7006951225084777e-07,3.8822992109999177e-07,1.8067244127450977e-06,59
32,1.4283938298831345e-07,6.743015887877846e-07,1.9206352419587347e-07,5.999236805109831e-07,-4.922418028741049e-08,2.596808315047383e-07,59
33,2.1100119340644596e-07,1.0558492249401752e-06,5.4844335295456403e-08,1.7817957598253997e-07,1.561569007435537e-07,8.988250783659169e-07,59
