dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
0,3.5023493438757214e-08,2.2235353835942107e-10,3.480113974774213e-08
1,1.1354035933663909e-08,1.9729136380153278e-10,1.115674486129592e-08
2,6.722541634474055e-09,2.4313401292275216e-10,6.479407677062454e-09
3,1.610234967586166e-08,1.407506555750615e-09,1.4694842676021835e-08
4,4.692329191868794e-09,5.952237036588315e-10,4.0971053216765085e-09
5,1.0859046994937671e-08,4.4380316088776794e-10,1.0415243778538752e-08
6,6.422875031830699e-08,4.98116686786787e-11,6.417894127253021e-08
7,1.3962186962146461e-08,1.190037179910064e-09,1.2772149560191792e-08
8,1.0697301711104501e-08,8.596447165221122e-11,1.0611337586396985e-08
9,1.0876002320969747e-08,4.806250397670908e-10,1.03953770036469e-08
10,1.201203048140087e-08,4.939098019463017e-10,1.1518120679454569e-08
11,1.2721447006924791e-08,1.4583171337179124e-09,1.1263129984229181e-08
12,7.736402629632266e-09,6.762542609228817e-11,7.668777612934718e-09
13,4.678772036470491e-09,2.4216117999742437e-10,4.4366110785176716e-09
14,1.2807999993924568e-08,4.9996996126511206e-11,1.2758002654322809e-08
15,9.95127891201264e-09,8.142838625602167e-10,9.136995160474726e-09
16,1.0129913796674828e-08,1.1312437653288043e-09,8.998670253390628e-09
17,5.02696728688079e-09,5.5767161721842484e-11,4.971200340264659e-09
18,8.407016416356328e-09,1.3731897563484807e-10,8.26969781542175e-09
19,2.439950996802054e-08,3.3254668463378323e-10,2.4066963533186936e-08
20,3.040062779291475e-08,7.292611514664316e-10,2.9671365808781047e-08
21,3.359572531280719e-08,4.033435530015339e-10,3.319238217613929e-08
22,3.543363646940634e-08,1.1913674213825942e-10,3.531449976890144e-08
23,1.509776126340512e-08,2.0702120573368177e-10,1.4890740196449315e-08
24,3.648332480565841e-08,3.292998929094182e-10,3.6154023774770394e-08
25,1.503872759656133e-08,4.689167942828476e-10,1.456981113534539e-08
26,1.2256815562494694e-09,3.7210512449092903e-10,8.535764317585404e-10
27,2.951592037447881e-08,3.454180830253506e-10,2.9170502457986913e-08
28,6.805898955519751e-09,6.327540269523979e-09,4.783586859957722e-10
29,1.8458475636862204e-08,4.26145702059344e-10,1.8032329407446923e-08
30,7.993801176553461e-08,1.9564889985890233e-10,7.974236382324307e-08
31,8.279926788645753e-08,4.328020442034841e-10,8.23664692006787e-08
32,1.7704275379060164e-08,1.5375569706321812e-09,1.6166717742294168e-08
33,3.987654650927652e-08,2.0495814767595988e-10,3.967158690443284e-08
34,9.435456860273916e-09,3.4607710031053784e-09,5.974685635123933e-09
35,1.5097356254045735e-08,1.7076555447470554e-10,1.492659151836051e-08
36,6.78840592627239e-08,5.580997886056593e-10,6.732595636549377e-08
37,9.422710434137116e-08,4.279335497070491e-10,9.379917287333228e-08
38,1.1564555535414911e-08,1.9454382549355387e-09,9.619117058434767e-09
39,2.9614382057729927e-08,1.0405656336587299e-09,2.857381709020501e-08
40,3.3780324315557664e-08,5.904148836499701e-10,3.3189909487418845e-08
41,2.0052734583941856e-08,7.71263586329951e-09,1.2340098720642345e-08
42,9.67844258070727e-08,1.1137905042701846e-09,9.567063585791402e-08
43,1.3792021746894534e-08,8.146935903674546e-11,1.371055269316912e-08
44,2.493343309595275e-08,1.2761635082014777e-09,2.365726992081818e-08
45,1.4366760225925645e-08,6.455103971347853e-07,-6.311436209216481e-07
46,1.8941420876217308e-08,4.3144829930952255e-08,-2.4203409054734948e-08
47,1.473632416093551e-08,1.2602906496184119e-09,1.34760336223394e-08
48,3.389055436286981e-08,3.1571585623613174e-11,3.385898139640631e-08
49,3.406404047723299e-08,1.3642412755032751e-09,3.26997984245736e-08
50,9.331353112429497e-08,5.379367506996857e-10,9.277559342990571e-08
51,2.7501686261643954e-08,3.72695374561971e-10,2.7128990609526227e-08
52,2.2995791937319154e-08,9.17396048016883e-10,2.2078396000324574e-08
53,1.7078456426844468e-09,1.0312273951429418e-10,1.6047229101090466e-09
54,1.3796259246134923e-08,4.102364004054948e-10,1.338602295675173e-08
55,7.974920279707476e-09,3.034474338470261e-10,7.671473234438508e-09
56,1.744616184851111e-08,2.814492250369227e-10,1.7164712318162856e-08
57,2.4574970947099928e-09,2.934048004554768e-10,2.1640922387433648e-09
58,1.0916050285914025e-08,2.1668013217013282e-10,1.0699370278643983e-08
59,7.25269444501464e-09,5.2062704147815e-10,6.732067348025339e-09
