dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
0,7.291635597539425e-07,1.7716665752232075e-06,6.850163458693714e-07,2.128462256223429e-06,4.414703980160084e-08,1.949553279700922e-06,203
1,7.833284598746104e-07,2.311857770109782e-06,5.013637860429299e-07,1.5198542087091482e-06,2.8196484436193714e-07,2.1004850623285165e-06,203
2,5.233455908637552e-07,1.4536580010826583e-06,3.424278816055448e-07,1.0521957847231533e-06,1.8091766662564623e-07,1.3402748209045967e-06,203
3,4.0332872686121846e-07,1.1008486353603075e-06,6.491005137831962e-07,1.8929223415398155e-06,-2.4577178692197776e-07,1.7770597651178832e-06,203
4,4.0632215814184747e-07,1.3500512068276294e-06,7.453836587956175e-07,2.2873628040542826e-06,-3.390614438103512e-07,2.387537051617983e-06,203
5,5.400905820351909e-07,1.6177804127437412e-06,4.5445031560120697e-07,1.609140781511087e-06,8.564025932855657e-08,1.9215094653191045e-06,203
6,8.762233392189955e-07,2.410386287010624e-06,3.8812447655800497e-07,1.264823822566541e-06,4.880985784438963e-07,2.2717781575920526e-06,203
7,2.98927233188806e-07,7.673304480704246e-07,7.460832875949563e-07,2.359163090659422e-06,-4.471560828278598e-07,2.2289834760158556e-06,203
8,3.990475647697167e-07,9.243643148693081e-07,4.83399446693511e-07,1.6449675968033262e-06,-8.435186060751221e-08,1.4897957498760661e-06,203
9,6.475229383795522e-07,1.935988393597654e-06,6.066533160264953e-07,2.0585321180988103e-06,4.086980709416821e-08,2.2820656795374816e-06,203
10,5.150507149664918e-07,1.2704917935479898e-06,4.358948046956357e-07,1.4271835198087501e-06,7.915586053286461e-08,1.4965673926781164e-06,203
11,8.116530239021813e-07,1.9280876131233526e-06,7.38274366085534e-07,2.1903763354202965e-06,7.337910545857085e-08,2.2331525997287827e-06,203
12,4.0896773612075776e-07,9.99099825094163e-07,3.7054877566333744e-07,1.1382927596059744e-06,3.841873308374488e-08,1.1147388931931346e-06,203
13,2.8863632905995473e-07,6.946769985916035e-07,5.901533768337686e-07,1.6724359284125967e-06,-3.015171046172327e-07,1.3590561138698831e-06,203
