dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
0,2.603292248437583e-09,1.9113513549662287e-10,2.412157140696536e-09
1,8.026825870643961e-10,3.117258395857192e-10,4.909567197231013e-10
2,5.345632270170597e-10,1.7189083489910217e-10,3.6267239211795754e-10
3,1.176614139453136e-09,5.853371676245445e-10,5.912769718285915e-10
4,1.394598658777113e-09,4.698259559177131e-10,9.247727028593999e-10
5,1.2628571521844378e-09,5.096644772883963e-10,7.531926748960416e-10
6,1.1721973613987302e-08,2.5728615418718626e-11,1.1696244861525429e-08
7,1.347407962981606e-09,2.9891250585833973e-10,1.0484955126344175e-09
8,1.1749948791717202e-09,6.06893146848364e-11,1.1143055367313082e-09
9,3.670523440746365e-09,4.08197309287317e-10,3.262326186970199e-09
10,1.4449762497648067e-09,2.4012064558931456e-10,1.2048555486643409e-09
11,4.139027787175564e-09,9.137628431687972e-10,3.225264944006767e-09
12,1.022160578401099e-09,2.8930443110586346e-11,9.932301647808117e-10
13,1.0324200383493576e-09,1.1712818215325882e-10,9.15291842318311e-10
14,1.2459990816893196e-09,8.300247295034424e-11,1.1629965879222937e-09
15,1.2809791005707893e-09,3.076595644913027e-10,9.733195360794866e-10
16,2.9724973593658888e-09,9.23640441907736e-10,2.0488568619470016e-09
17,4.1280198703752546e-10,4.405437473153917e-11,3.6874761577543325e-10
18,1.3306616919450676e-09,1.4045063723155948e-10,1.1902110408357203e-09
19,2.5156148275584655e-09,1.5629599003919026e-10,2.3593187403747606e-09
20,4.324133495714477e-09,1.2575616104015808e-09,3.0665718853128965e-09
21,5.033323979830584e-09,1.363596735526329e-10,4.896964167500073e-09
22,4.275239717799195e-09,5.969430505459172e-11,4.21554524621115e-09
23,3.0962070685092158e-09,3.4005542826065494e-10,2.7561517512708633e-09
24,3.966035055924522e-09,1.7600169932574516e-10,3.790033176187535e-09
25,2.3707134033656985e-09,2.2546151057234454e-10,2.1452519760600808e-09
26,1.8291722303498403e-10,2.0888323015721966e-10,-2.5966007122235624e-11
27,3.2363107749233677e-09,1.678737704402522e-10,3.0684370599942667e-09
28,3.323126662735376e-09,4.499328909446376e-09,-1.176202246711e-09
29,1.1790582954418483e-09,9.10465730585841e-11,1.0880116807499007e-09
30,4.879925796785756e-09,3.7589337198440376e-10,4.504032258267898e-09
31,9.260331168547964e-09,3.853332930514597e-10,8.874997625696324e-09
32,1.6310885975201472e-09,1.5492750415901924e-09,8.181355592995487e-11
33,7.229085330351381e-09,2.095624229703219e-10,7.019522740847606e-09
34,5.272353664764751e-09,8.120961680901928e-10,4.460257496674558e-09
35,2.5217252730413975e-09,1.17292953127901e-10,2.404432208891194e-09
36,3.842444584734039e-09,1.5426721011735367e-10,3.6881773191055345e-09
37,1.7315795020067526e-08,2.607280502608944e-10,1.7055066692250875e-08
38,6.326217327767836e-10,2.163231399565646e-10,4.162986066980068e-10
39,7.538079493940586e-09,2.938785215178541e-09,4.599294278762045e-09
40,3.4152209948956624e-09,6.229203958207918e-11,3.352929045519204e-09
