dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
0,7.591154371766606e-09,2.4653106223126997e-08,3.664539782732845e-09,1.5720859281032062e-08,3.926615477212181e-09,2.6698074861997156e-08,50
1,4.556329535887471e-09,1.790578352256489e-08,2.005384480696648e-08,1.1600990035276482e-07,-1.549751615925743e-08,1.163922149771679e-07,50
2,2.083994532497968e-09,7.862108297729264e-09,2.0443313708540245e-09,7.935003765169313e-09,3.966314776615576e-11,1.0037005004903676e-08,50
3,3.4804223947304536e-09,1.3136325804907756e-08,1.0376037806736349e-08,4.3278852501771325e-08,-6.895613857693661e-09,4.284101606799595e-08,50
4,2.303836676986748e-09,8.779713844830894e-09,7.837926752074509e-09,2.8182224554029744e-08,-5.5340918514446e-09,2.84057986021935e-08,50
5,6.928368545544572e-09,2.7687395487419053e-08,6.172214295219192e-09,2.1615344181213914e-08,7.561538062361706e-10,3.227395595217786e-08,50
6,1.3643250085237923e-08,5.983175555002163e-08,1.020552087283022e-09,4.082382876191559e-09,1.2622699330222531e-08,5.960928461945514e-08,50
7,4.0904293285848325e-09,1.5400882347194056e-08,1.283477146785117e-08,5.747330078520463e-08,-8.744343915623176e-09,5.7410165510418665e-08,50
8,3.6929983515676668e-09,1.4439136997168589e-08,6.278273900761633e-09,3.367325618341965e-08,-2.585275993283176e-09,3.6433799976975934e-08,50
9,8.904470050197233e-09,2.9960325775846286e-08,3.729159203658128e-09,1.4959400829184233e-08,5.175311290628315e-09,3.078716659388192e-08,50
10,6.921748507693337e-09,2.1744407163737378e-08,5.36606670209494e-09,2.1817923467892797e-08,1.555682582754514e-09,2.853925273882396e-08,50
11,7.899807030753436e-09,2.9174499260875564e-08,1.0628622426622769e-08,3.894876954291249e-08,-2.7288160620031476e-09,4.1812185713752115e-08,50
12,2.302154689104441e-09,9.028984671033413e-09,2.3857864572818244e-09,1.1387401244178363e-08,-8.363225389995677e-11,1.4115096647060454e-08,50
13,5.61270052656937e-09,2.1531723959355986e-08,6.595915369445038e-09,3.047001229106172e-08,-9.832146208310633e-10,3.571347306774442e-08,50
14,5.121376212002815e-09,2.1596880728225187e-08,4.037488121610977e-09,1.580714048543541e-08,1.0838879793695355e-09,2.466616244589659e-08,50
15,4.693779587228164e-09,1.9373560533608725e-08,4.351548898995361e-09,1.1859120796486877e-08,3.42229605765354e-10,1.718063735722808e-08,50
16,3.804239145921429e-09,1.3200605053498293e-08,4.761230076866241e-09,1.369109536852875e-08,-9.569912640117195e-10,1.1377530029221816e-08,50
17,1.6166720184784822e-09,6.517328010602341e-09,1.10967224298264e-09,3.3169389457299303e-09,5.06999719984691e-10,6.205782110413338e-09,50
18,5.484467990868325e-09,2.028131795839272e-08,6.761101900565336e-09,3.585986974030675e-08,-1.2766342427639188e-09,4.035559797443966e-08,50
19,6.687978171271425e-09,3.122674030464623e-08,4.768553996115088e-09,1.7501145421761066e-08,1.9194248412901516e-09,3.364166545338776e-08,50
20,1.3277952959356298e-08,6.08923045319898e-08,1.4672215442601555e-08,4.5797978742712075e-08,-1.3942600407546024e-09,6.80620999560233e-08,50
21,9.023784386386069e-09,3.0849889753881143e-08,7.33284144516233e-09,2.5830583894048686e-08,1.690941831000714e-09,3.5666825937141766e-08,50
22,5.410813130879433e-09,2.224681239226811e-08,3.743060528194064e-09,1.7888403647248197e-08,1.6677526026853684e-09,2.7711354988468884e-08,50
23,1.1629254892397967e-08,4.197479697154449e-08,7.698458759364257e-09,3.1291172319924954e-08,3.930798353479759e-09,4.896268279708238e-08,50
24,9.370359599358835e-09,4.1487627555625295e-08,1.6923388912459814e-08,8.361985948113215e-08,-7.553029313100978e-09,9.202136652675108e-08,50
25,4.215167770382777e-09,1.5500155825520778e-08,1.32907436167784e-08,6.613141323441596e-08,-9.075574958217203e-09,6.728876655870408e-08,50
26,9.438164694230977e-10,3.5704474932174435e-09,3.179048357893066e-09,1.4166213091471036e-08,-2.235232221536876e-09,1.4042651486079194e-08,50
27,1.3073067961499873e-08,4.781964690891982e-08,5.308791628522158e-09,2.2343810357483562e-08,7.764276332977715e-09,4.853626833778435e-08,50
28,7.56134888035831e-09,2.7608596298023258e-08,4.903800387978663e-08,2.3547258365397283e-07,-4.1476667433926195e-08,2.354448866981329e-07,50
