dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
0,7.773287791223993e-09,5.417180037881053e-09,2.3561077533429398e-09
1,3.398262782283723e-09,1.6186783469152033e-08,-1.2788520464823705e-08
2,8.481336188914668e-10,1.1522055531898445e-09,-3.0407193429837776e-10
3,5.574083417059228e-09,9.875418705007633e-09,-4.3013352879484046e-09
4,6.3030736185965e-09,5.152756799020608e-08,-4.522449614796642e-08
5,3.0877276291363387e-09,3.879459864464252e-09,-7.917322353279133e-10
6,1.9986932997539952e-08,4.3929091475547466e-08,-2.3942158478007514e-08
7,4.869912917371266e-09,5.09274435955831e-08,-4.6057529345944204e-08
8,4.100479511492949e-09,1.1799620835972746e-08,-7.699140880390587e-09
9,9.584331550627212e-09,1.9125621975035756e-08,-9.541290424408544e-09
10,1.0117280346833013e-08,6.079382774970554e-09,4.037897571862459e-09
11,1.4345147292260663e-08,1.1416010359255324e-08,2.9291369330053385e-09
12,2.823089539916168e-09,5.0895113901106015e-08,-4.807202458323445e-08
13,4.167849620984043e-09,3.9748741187395353e-08,-3.558089289867894e-08
14,1.9891968960905615e-08,6.0077769425959104e-09,1.3884191574220495e-08
15,5.602040609176129e-09,1.3163303336227727e-08,-7.561262727051599e-09
16,1.7782612715677715e-08,2.2655648024283437e-08,-4.873035308605722e-09
17,3.07726799597674e-09,1.938121307887286e-08,-1.6303944860851516e-08
18,7.815389224674618e-09,2.3930091685997468e-08,-1.611470246132285e-08
19,9.449121485261003e-09,1.9053675970326367e-08,-9.604554485065364e-09
20,7.500190690734598e-09,2.336028792626621e-08,-1.5860097235531612e-08
21,1.2074963251507143e-08,1.6047955853082385e-08,-3.972992601575243e-09
22,1.0399130445648552e-08,5.997129459700545e-09,4.402000985948007e-09
23,1.6017368764664752e-08,2.166316193097373e-08,-5.645793166308977e-09
24,2.627381645581295e-09,1.6170583094776703e-08,-1.3543201227150803e-08
25,4.746959270107709e-09,4.35874980553308e-09,3.8820946457462924e-10
26,1.077337885568852e-09,6.667043095376357e-08,-6.559309184694939e-08
27,2.1477312373008317e-08,1.0775815795227572e-08,1.0701496577780745e-08
28,1.0439513253857058e-08,1.2045464359289326e-07,-1.1001512945085778e-07
29,7.901121534814592e-09,2.0597182626147514e-08,-1.2696061091332922e-08
30,1.875683608432155e-08,1.012842698600025e-08,8.628409098321299e-09
31,2.0512526788252217e-08,8.63441762533057e-09,1.1878109162921646e-08
32,7.721891570611206e-09,3.8387831580166676e-08,-3.066594089773389e-08
33,1.936812132896648e-08,2.028187573444029e-08,-9.1375440547381e-10
34,1.9614599722217463e-08,1.1262454968630209e-08,8.352144753587254e-09
35,3.028519435233079e-09,9.485312979506944e-09,-6.4567933222292595e-09
36,9.006961398938529e-09,3.3132687704551245e-09,5.693692628483404e-09
37,1.580101738341e-08,9.990531957271287e-09,5.810485426138712e-09
38,2.271230314931927e-09,4.326523495024048e-08,-4.099400285895172e-08
39,5.909307176921175e-08,1.6856972706591478e-08,4.223609906262027e-08
40,1.3249087160716044e-08,2.8230495274783607e-08,-1.4981408114067563e-08
41,4.5654743985323876e-08,2.0230839226087483e-08,2.5423904759236393e-08
42,3.19213668831253e-08,4.145864451743364e-08,-9.537277634308339e-09
43,4.689508337207826e-09,8.765505654650951e-09,-4.075997317443125e-09
44,1.4723532615334989e-08,1.3883105332013201e-08,8.404272833217874e-10
45,2.0328688066229006e-08,7.83977753826548e-08,-5.8069087316425794e-08
46,1.0443894638001439e-08,3.3874623994734065e-08,-2.3430729356732627e-08
47,4.273529086162853e-09,5.621458853966033e-09,-1.3479297678031799e-09
48,3.654584901369162e-08,6.775072947107219e-09,2.9770776066584403e-08
49,2.9775501175777208e-08,5.861782614857702e-09,2.3913719005008716e-08
50,7.058272633031493e-09,4.291421618063396e-08,-3.5855943991691674e-08
51,1.2772229496249565e-08,1.9384170713010462e-08,-6.611941216760897e-09
52,1.1667016686089937e-08,7.569855853262197e-09,4.09716083282774e-09
53,5.878066922093694e-10,9.900465336443176e-09,-9.312659088323016e-09
54,8.248793648135688e-09,1.9593036526543983e-08,-1.1344242878408295e-08
55,9.926326427489585e-09,4.15619005877943e-09,5.770136368710155e-09
56,2.417568012447191e-08,2.2865675575189925e-08,1.3100045492819845e-09
57,4.98870056375722e-09,3.790389513369519e-08,-3.2915195902205596e-08
58,7.69190489080529e-09,2.1123056637151194e-09,5.579599005045566e-09
59,2.84212897661007e-09,1.636853141917527e-08,-1.3526402220520595e-08
60,1.6373737921071552e-08,6.834842913860939e-09,9.538895007210613e-09
61,7.36065342010761e-09,1.7366117432970896e-08,-1.0005464012863285e-08
62,1.7702072696579307e-08,7.659903822343495e-09,1.0042168874235813e-08
63,1.274052596755837e-08,6.531472251936066e-08,-5.257419743998071e-08
64,4.638451969185553e-07,3.0496323233819567e-05,-3.0032477297936566e-05
65,8.941445912569179e-07,6.890187705721473e-06,-5.996043000777718e-06
66,9.169209988613147e-06,1.0457629286975134e-05,-1.2884192983619869e-06
67,5.69172762254766e-08,1.3061270692560356e-05,-1.3004353604628704e-05
68,4.420208279043436e-05,9.669121254773927e-07,4.3235169869149104e-05
69,3.6467379231908126e-06,7.291104338946752e-06,-3.6443664157559397e-06
70,5.093400613986887e-05,0.00010924132220679894,-5.830731606693007e-05
71,9.115001375903375e-07,0.0003239699872210622,-0.00032305848435498774
72,2.891555141104618e-06,1.2107409474992892e-06,1.680814193605329e-06
73,7.331383926612034e-07,7.746330084046349e-06,-7.013191861915402e-06
74,1.2361273547867313e-05,5.411655729403719e-05,-4.175528374616988e-05
75,2.7297244287183275e-07,1.7607542304176604e-06,-1.4877817875458277e-06
76,0.0001006153179332614,2.9791283395752544e-06,9.763619164004922e-05
77,1.5226675031954073e-08,4.142990661648582e-08,-2.620323158453175e-08
78,1.6344088749065122e-07,8.844173038369263e-08,7.499915710695859e-08
79,2.4735835602029965e-09,8.105901727617493e-09,-5.632318167414496e-09
80,3.6544367532087563e-09,9.25006471419465e-09,-5.595627960985894e-09
81,4.700164701887388e-09,1.0468749422898327e-08,-5.768584721010939e-09
82,1.7585533029773615e-08,2.1295667451681766e-09,1.5455967172783858e-08
83,2.2294994295180004e-08,2.0223584584755372e-08,2.071409710424632e-09
84,4.143760889974146e-09,1.7150018294387337e-08,-1.300625740441319e-08
85,1.4913435819607912e-08,1.764979096208208e-08,-2.7363551424741672e-09
86,3.9997205547592785e-09,6.7692993432899584e-09,-2.76957878853068e-09
87,2.7803253033198416e-08,4.520195062696075e-08,-1.7398697593762336e-08
88,1.2723358366883986e-08,1.0477858580770771e-08,2.2454997861132142e-09
89,4.9629882425961114e-08,4.07924005685345e-09,4.5550642369107663e-08
90,2.1182282594622848e-08,1.5400498654116745e-08,5.781783940506102e-09
91,8.330982126381059e-09,4.3083963063850206e-09,4.0225858199960385e-09
92,5.832570870722975e-09,2.660521225550383e-08,-2.0772642272959274e-08
93,1.862914711381336e-09,5.011675696664497e-08,-4.8253841811174425e-08
94,2.3063471132900304e-08,1.2147825145802926e-07,-9.841478032512896e-08
95,3.107490442744165e-07,1.8152523040271262e-08,2.9259652478685894e-07
96,2.2631903462411174e-08,4.905043837766243e-08,-2.6418534915251257e-08
97,2.1433588699437678e-06,7.020662451395765e-05,-6.806326564401388e-05
98,1.7279714370488364e-07,3.208968379908583e-08,1.4070745635308413e-07
99,1.866282218543347e-06,1.4174568150338018e-06,4.4882540350954514e-07
100,3.065665623580571e-07,5.194742698222399e-07,-2.1290770746418275e-07
101,2.3485476958740037e-06,2.1201899471634533e-06,2.2835774871055037e-07
102,8.573068043915555e-06,2.8794775062124245e-05,-2.022170701820869e-05
103,2.8041196856065653e-05,0.00012597003660630435,-9.792883793124929e-05
104,2.1386862499639392e-05,3.498081423458643e-05,-1.359395173494704e-05
105,9.447928459849209e-05,0.00013109022984281182,-3.661094524431974e-05
106,2.3242099800313554e-08,1.924600923075559e-09,2.1317498877237995e-08
107,9.404907075349911e-09,3.155702472668054e-07,-3.061653330860281e-07
108,2.3358847300869456e-08,7.135442814387716e-08,-4.79955808430077e-08
109,5.180565754159261e-09,4.520451124534475e-09,6.601146296247862e-10
110,9.360917374579003e-09,3.926941882781421e-09,5.4339754917975824e-09
111,5.631984656417899e-09,1.8032777049370452e-08,-1.2400792392952553e-08
112,2.2537973265457367e-08,2.198777693251941e-08,5.501963329379578e-10
113,8.037971177543568e-09,9.602634243321972e-09,-1.5646630657784044e-09
114,3.1222122665042207e-09,9.37925914712423e-09,-6.25704688062001e-09
115,2.068098226004622e-08,6.73973588050103e-08,-4.671637654496408e-08
116,2.8878016422595465e-08,4.432028966050439e-09,2.4445988344723446e-08
117,3.628057498872295e-08,8.375502069668528e-09,2.790507380723284e-08
118,3.640564516516065e-09,2.8444610222777555e-08,-2.4804045040127676e-08
119,4.151696089138568e-07,1.1699402335807463e-08,4.03470210130763e-07
120,1.4428988833969925e-05,1.023949880618602e-05,4.189490027783904e-06
121,5.11188922303063e-08,1.3665313325361694e-08,3.745357801676619e-08
122,4.982733798897243e-07,2.4660971575940493e-07,2.516636641303194e-07
123,0.01228319387882948,0.007126793265342712,0.005156400613486767
124,0.007586027029901743,0.0002367043780395761,0.00734932254999876
125,0.17269949615001678,0.005783136002719402,0.1669163554906845
126,0.0008544190204702318,0.0037587431725114584,-0.0029043240938335657
127,0.020011674612760544,8.733094728086144e-05,0.01992434449493885
128,4.1085667135121184e-07,3.317925347801065e-06,-2.9070686196064344e-06
129,1.587251396983902e-08,1.274280094776259e-07,-1.1155549373143003e-07
130,1.1812873168537408e-07,8.144033927237615e-07,-6.962746397221053e-07
131,2.6609370706864865e-07,2.906005249769805e-07,-2.4506817908331868e-08
132,1.4230961369321449e-06,5.743789188272785e-06,-4.320692823966965e-06
