dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
0,1.2292651341283545e-08,1.731341825461641e-08,7.678780278297381e-09,1.3918367791632136e-08,4.613871951164583e-09,2.1781264791798094e-08,11
1,6.238659366886168e-09,6.796112117513076e-09,1.8047103367280215e-08,3.5210415916253623e-08,-1.1808444000394047e-08,3.286802296997848e-08,11
2,2.4035959889090464e-09,3.0400251205264794e-09,3.915590074399233e-09,8.597176304192544e-09,-1.5119941965124895e-09,8.384864358390587e-09,11
3,6.942931563003185e-09,1.1234636332346781e-08,1.6697692117872975e-08,3.141223459124376e-08,-9.75476055486979e-09,3.3677782340646445e-08,11
4,5.147301251895442e-09,6.784110162527668e-09,3.132726433818789e-08,4.763333194546249e-08,-2.6179964862649285e-08,4.615347393155389e-08,11
5,4.2734145111467114e-09,6.770053406768284e-09,4.871699488262493e-09,8.611574564554303e-09,-5.982849216046304e-10,1.0462369637309621e-08,11
6,2.2301803070945425e-08,3.2664040361396474e-08,2.6143275988488313e-08,3.3327282267237024e-08,-3.8414729175428874e-09,3.1902906982850254e-08,11
7,7.82554110401179e-09,1.1202911487373513e-08,3.089314759563422e-08,4.7046125217775625e-08,-2.3067610044336107e-08,4.7563112559600995e-08,11
8,5.745108833110635e-09,8.284756880527766e-09,1.1827145485199253e-08,1.8278548452599352e-08,-6.082036652088618e-09,1.7687410647226898e-08,11
9,9.958539770593688e-09,1.4688661842399142e-08,1.462202803281798e-08,1.9844813792246896e-08,-4.663486929956662e-09,2.1218932388933354e-08,11
10,1.2446244923580707e-08,1.685663875150567e-08,3.218228528112377e-08,7.750821140461994e-08,-1.9736036804829382e-08,7.944775859414221e-08,11
11,2.1409009676176538e-08,3.0265844941368414e-08,1.920865777549352e-08,3.4276276039690856e-08,2.2003525668168322e-09,4.0020154301600996e-08,11
12,2.573599777733193e-09,3.2780818060018646e-09,2.5692129312915313e-08,3.556792194103764e-08,-2.3118531089494354e-08,3.433662243423896e-08,11
13,7.457140682731733e-09,1.0099151737108514e-08,3.02769578297557e-08,5.4310842045879326e-08,-2.281981359431029e-08,5.347073184225337e-08,11
14,1.728216680874084e-08,2.7748290776230533e-08,8.419285713046065e-09,1.3938688425696455e-08,8.862882872051614e-09,2.982744362611811e-08,11
15,7.104060451013083e-09,1.0403245376267023e-08,1.2247039826718265e-08,1.708594687954701e-08,-5.142978931615971e-09,1.825269713151556e-08,11
16,8.542499152497385e-09,1.1719251347130921e-08,1.4644229828775224e-08,2.096343010293822e-08,-6.1017320085454685e-09,2.2099948537857017e-08,11
17,4.802740427578556e-09,7.85889309184995e-09,1.2550887440454517e-08,1.60914499502951e-08,-7.74814790105438e-09,1.510646363556134e-08,11
18,7.286442116338776e-09,1.0502759550945484e-08,1.623033263342677e-08,2.387037767448419e-08,-8.943891849355623e-09,2.4258840269908433e-08,11
19,2.0766414365880337e-08,3.010589466612146e-08,3.137881421366728e-08,5.859968865706833e-08,-1.0612397183251687e-08,6.178704126114098e-08,11
20,7.507439114817771e-09,1.1677564693002296e-08,1.8232904963610963e-08,2.7493889831475826e-08,-1.0725465848793192e-08,2.769664142476813e-08,11
21,1.441324837259117e-08,1.945934613445388e-08,1.0354575863402715e-08,1.3152323674603394e-08,4.058673397366874e-09,2.0173695602920816e-08,11
22,1.4853745788911965e-08,2.2480382000367172e-08,6.882589609347178e-09,1.4412556481602223e-08,7.971157955921626e-09,2.6661345131628877e-08,11
23,3.116605284958496e-08,5.0504414872420966e-08,2.368555662712879e-08,3.236594281474936e-08,7.480500663348266e-09,4.2002010758324104e-08,11
24,7.539830093605815e-09,1.1396909194161253e-08,2.001662124939685e-08,3.941142168173428e-08,-1.2476789379434194e-08,4.056447622247106e-08,11
25,5.509589673380333e-09,7.805001089877805e-09,1.030711516136762e-08,2.0274775636153208e-08,-4.7975250438980765e-09,2.063090320802985e-08,11
26,2.336235871425174e-09,3.669510917347907e-09,3.9125982453924735e-08,5.583556017541014e-08,-3.678974280774128e-08,5.546153047930602e-08,11
27,1.3584283031775612e-08,2.232865092821612e-08,1.1890019635529825e-08,1.9800591388730027e-08,1.6942632852234851e-09,2.8833943233053105e-08,11
28,1.5725236224284345e-08,2.009726429719194e-08,9.478412721364293e-08,1.1451430026454545e-07,-7.905887855486071e-08,1.0255238436229774e-07,11
29,1.095548540774871e-08,1.7424380160946384e-08,4.6736143843872924e-08,9.794760558179405e-08,-3.5780654883410534e-08,1.0088069757330231e-07,11
30,1.0518383497526429e-08,1.2652108694055642e-08,7.018188252772006e-09,8.585288924223278e-09,3.500194800665213e-09,1.0546117756859985e-08,11
31,2.632800821800174e-08,3.3721615722015486e-08,6.105446814785864e-09,7.733350848582177e-09,2.0222559626859038e-08,2.980608471148116e-08,11
32,1.0565216257418797e-08,1.661910076222739e-08,4.26404760389687e-08,6.388556528236222e-08,-3.20752597815499e-08,6.485731773864245e-08,11
33,1.755966394512143e-08,2.9844287041669304e-08,1.4116310786960184e-08,1.7956139686248207e-08,3.4433518258936147e-09,2.39490063336234e-08,11
34,2.1483055334670098e-08,2.9912374799323516e-08,1.8986003880172575e-08,3.5793060959576906e-08,2.4970534528989674e-09,4.5679183102720344e-08,11
35,8.280253815939886e-09,1.1334803318163722e-08,1.976525076941016e-08,3.4873529841661366e-08,-1.1484993400756593e-08,3.2405203853613784e-08,11
36,1.1571315461367249e-08,1.6223467014242487e-08,5.299380045897806e-09,1.1196813254343851e-08,6.271934083201813e-09,1.8031519388728157e-08,11
37,2.7638112243266733e-08,3.6062942854186986e-08,1.2725174691752272e-08,2.4727963676696163e-08,1.491294021604972e-08,3.9519850503211273e-08,11
38,6.007171204913675e-09,8.466851220134686e-09,3.837014261875993e-08,5.669800273722103e-08,-3.236297274611388e-08,5.487064314024792e-08,11
39,5.197439278958882e-08,6.57707133200347e-08,3.551082272679196e-08,5.6206356902066545e-08,1.6463570062796862e-08,7.087495390578624e-08,11
40,1.2784229674878134e-08,1.8228995202207443e-08,2.1112571246817424e-08,4.215301174781416e-08,-8.32834334829613e-09,4.439867140604292e-08,11
41,3.81638507462867e-08,4.607741743711813e-08,1.5386284246687865e-08,2.6691685306445834e-08,2.2777568275955673e-08,4.790426544332149e-08,11
42,2.6955252252491846e-08,4.050662028021179e-08,2.4458698177909355e-08,3.7289527909933895e-08,2.4965525202702565e-09,3.9973809151661044e-08,11
43,6.718839706820745e-09,9.791262023384206e-09,1.7472885360803048e-08,3.715845053875455e-08,-1.0754046542160722e-08,3.830279382555091e-08,11
44,7.549347813551321e-09,1.0229138425188466e-08,1.0409610951001014e-08,1.8029426840371343e-08,-2.8602633594942972e-09,1.9449061028353753e-08,11
45,1.329764209856421e-08,1.8025271941723986e-08,8.281288899070205e-08,1.1998636750831793e-07,-6.9515245115781e-08,1.1712347713910276e-07,11
46,2.174310154146042e-08,3.4575570850847726e-08,4.350479088088832e-08,6.12409465361452e-08,-2.1761685786714224e-08,6.646725125847297e-08,11
47,5.523297375020775e-09,7.310580141250966e-09,1.1252600629063636e-08,2.1407485562008333e-08,-5.729303254042861e-09,2.142141397598607e-08,11
48,1.6264975144508753e-08,2.0533654776500043e-08,1.562766094309609e-08,3.342080390211777e-08,6.37314867546479e-10,3.855094732330144e-08,11
49,3.609046927977033e-08,5.0691042474682035e-08,1.0207362954872679e-08,1.812267669265566e-08,2.5883103660362394e-08,5.036559258542184e-08,11
50,1.2209307342914144e-08,1.7137711694203972e-08,3.431415152022055e-08,5.3929571919297814e-08,-2.2104842400949565e-08,5.4104315694303295e-08,11
51,8.325407030440601e-09,1.0597628552488914e-08,2.470241611263191e-08,4.680679310808955e-08,-1.6377009970369727e-08,4.673962550327815e-08,11
52,1.384469694443169e-08,1.9860904032498183e-08,8.515508298501118e-09,1.4181165575166688e-08,5.329186425484522e-09,2.3976280516535553e-08,11
53,2.095596585149906e-09,3.929307990091502e-09,1.5462779501262958e-08,2.9498723463916576e-08,-1.3367181139756212e-08,2.9359576103615836e-08,11
54,1.0862623689433804e-08,1.7069146096559962e-08,1.9281497287693128e-08,2.9457597250370782e-08,-8.418872710080905e-09,3.12052108597527e-08,11
55,8.133204332239075e-09,1.193528920140352e-08,1.0222953150673675e-08,2.0744922224480433e-08,-2.0897488184346003e-09,2.3688805583788053e-08,11
56,1.0531693739324055e-08,1.3664063658325176e-08,1.3720725888788365e-08,1.8496441711590705e-08,-3.1890321494643104e-09,1.8362014131412252e-08,11
57,1.5204369319121724e-08,2.5204656139976578e-08,3.457384067928615e-08,5.053580309777317e-08,-1.9369467807450746e-08,5.478329256902725e-08,11
58,2.1633946190036113e-08,3.383638258469546e-08,4.669175712734841e-09,8.45273984140249e-09,1.6964769145033642e-08,3.326024256011806e-08,11
59,3.5432428102666336e-09,4.732005010055218e-09,9.998803562893954e-09,1.5962985600026514e-08,-6.455561862850345e-09,1.572234609170664e-08,11
60,1.412663319655394e-08,2.1778179259968056e-08,6.156212872809874e-09,1.0311884679481409e-08,7.970419879654855e-09,2.222158101972127e-08,11
61,1.302622010257437e-08,2.1817223583298073e-08,3.98704003146122e-08,7.981080329955148e-08,-2.6844180212037827e-08,8.379805649383343e-08,11
62,1.4825586980293792e-08,2.2797770782290172e-08,1.530825066708985e-08,3.612247212458897e-08,-4.826642419075711e-10,4.360230576594404e-08,11
63,1.0805860206630769e-08,1.4877984177985581e-08,4.3302108565512754e-08,7.122103085066556e-08,-3.2496249247060405e-08,7.120434020180255e-08,11
64,5.064071046945173e-07,8.116311391859199e-07,5.047809736424824e-06,8.67903872858733e-06,-4.541402176982956e-06,8.48114814289147e-06,11
65,5.288056854624301e-07,7.569146873720456e-07,2.3221543870022288e-06,2.8119839043938555e-06,-1.793348587852961e-06,2.1844707589480095e-06,11
66,7.465403086825972e-06,8.436547432211228e-06,5.017711828259053e-06,5.78367644266109e-06,2.4476912585669197e-06,5.152540779818082e-06,11
67,1.1068703287264725e-07,1.414748993511239e-07,3.23526455758838e-06,4.271066700312076e-06,-3.124577233393211e-06,4.213847205392085e-06,11
68,5.190314186620526e-05,4.542135866358876e-05,3.601790012908168e-07,4.267815256753238e-07,5.1542963774409145e-05,4.5179855078458786e-05,11
69,2.1226749140623724e-06,2.597873844933929e-06,6.318905434454791e-06,6.1531882238341495e-06,-4.1962298382713925e-06,5.079395123175345e-06,11
70,5.547477849177085e-05,5.6271495850523934e-05,3.464587643975392e-05,3.664259929792024e-05,2.0828900233027525e-05,4.850874393014237e-05,11
71,7.660101459805446e-07,9.342876978735148e-07,9.535774006508291e-05,8.45748872961849e-05,-9.459172724746168e-05,8.415830961894244e-05,11
72,3.053741465919302e-06,3.865485268761404e-06,1.0226607400909415e-06,1.2645948572753696e-06,2.031080839515198e-06,3.305109885332058e-06,11
73,1.188576106869732e-06,1.6337648958142381e-06,3.7190729926805943e-06,4.27278700954048e-06,-2.530496658437187e-06,3.5036091503570788e-06,11
74,9.974960448744241e-06,1.1865648048114963e-05,2.168005630664993e-05,2.0132252757321112e-05,-1.1705094948410988e-05,1.322552725468995e-05,11
75,8.853848498802108e-07,1.1871438800881151e-06,4.085355158167658e-06,5.232997864368372e-06,-3.199970478817704e-06,4.3454838305478916e-06,11
76,3.5728749935515225e-05,2.9615237508551218e-05,9.66856418926909e-07,1.1324699471515487e-06,3.4761891583912075e-05,2.883348861359991e-05,11
77,2.3531400827891957e-08,3.632884570947681e-08,2.217984551577956e-08,3.119599156775621e-08,1.3515553121123958e-09,4.2774310315962794e-08,11
78,1.8069903262585285e-07,2.073169866889657e-07,5.261408659862354e-07,1.3781517509414698e-06,-3.4544180493867316e-07,1.380828166475112e-06,11
79,4.087936211760734e-09,6.81958534087812e-09,1.1526297249986328e-08,1.9374354565115937e-08,-7.438361038225594e-09,2.002864363248591e-08,11
80,7.355771547423728e-09,1.0605342382064009e-08,1.3269757737077725e-08,2.3744533450553718e-08,-5.9139875219216265e-09,2.37535271452316e-08,11
81,5.979293504765337e-09,8.354570368851455e-09,1.7095381110721064e-08,2.8414140373911323e-08,-1.1116088494134146e-08,2.745916383162239e-08,11
82,1.0536740369104791e-08,1.3265845311138946e-08,1.9351316993265755e-08,5.3302812830224866e-08,-8.814576624160964e-09,5.5372275653553515e-08,11
83,3.523712166497717e-08,5.479802567265324e-08,1.536529481427351e-08,2.215582917131087e-08,1.9871826850703656e-08,5.582717932384185e-08,11
84,3.7103911054714445e-09,5.0977599919121985e-09,1.9632681258485718e-08,3.0160133945855705e-08,-1.5922294593906372e-08,2.997958858941274e-08,11
85,9.1310292660296e-09,1.212108458048533e-08,3.093201073056662e-08,5.5747953808804596e-08,-2.1800978800001758e-08,5.508816158794616e-08,11
86,7.412612301749277e-09,1.1459523996393273e-08,1.2172988839154186e-08,2.4746803717334842e-08,-4.760375205137279e-09,2.7152154302712006e-08,11
87,2.7234561272848623e-08,3.9509895799483274e-08,6.265528895710304e-08,1.0312674447732206e-07,-3.54207223551839e-08,9.892126229260612e-08,11
88,2.028759737982e-08,2.756250694346818e-08,9.753564178538454e-09,1.4628006361760981e-08,1.0534031424924706e-08,2.7348340481125888e-08,11
89,6.373364414002936e-08,7.178579863875711e-08,1.3047972480251246e-08,2.741699134389819e-08,5.0685681429740725e-08,6.960617326967622e-08,11
90,2.7718016326616635e-08,4.0455102379155505e-08,2.7096705323970127e-08,5.0521034467010395e-08,6.213085601558532e-10,6.202257196719074e-08,11
91,7.329270079736716e-09,9.926211852473443e-09,1.5963065536084287e-08,2.9038131899028485e-08,-8.633794124079941e-09,2.995806980266025e-08,11
92,1.5468646807903497e-08,2.452807379427213e-08,2.4759408745467226e-08,4.919504092981697e-08,-9.29076104938531e-09,5.4042324393321906e-08,11
93,3.5744569526485748e-09,5.881957143571981e-09,7.598652729257083e-08,1.6496399268817186e-07,-7.241207100605607e-08,1.6437317640338733e-07,11
94,3.315358299005311e-08,4.350693671995032e-08,1.1741660443931323e-07,1.5228638972075714e-07,-8.426302855468748e-08,1.405935847742512e-07,11
95,2.0293627756018395e-07,2.5241689627364394e-07,3.19948867399944e-08,7.207882646298458e-08,1.7094139082018955e-07,2.5421553573323763e-07,11
96,2.8602352486473137e-08,4.414002674479889e-08,2.6913935968764235e-08,3.567378215052486e-08,1.6884161846419943e-09,4.811064968635037e-08,11
97,2.6056638944282895e-06,3.4920096823043423e-06,2.3771828637109138e-05,2.4496590413036756e-05,-2.1166166334296577e-05,2.2500827981275506e-05,11
98,3.2657115411893756e-07,5.566702157011605e-07,2.850077862603939e-08,4.004021647574518e-08,2.980704039146076e-07,5.426096549854265e-07,11
99,3.250324425607687e-06,3.567341536836466e-06,1.617091129446635e-06,2.129808763129404e-06,1.6332331824742141e-06,2.2658387024421245e-06,11
100,6.563845431628579e-07,7.807297492945509e-07,5.394015261117602e-07,6.166097250570601e-07,1.1698302415652506e-07,7.133558028726839e-07,11
101,7.452778390870662e-06,7.542944786109729e-06,4.909457402391126e-06,6.6181455622427166e-06,2.5433228074689396e-06,4.932401679980103e-06,11
102,2.095172203553375e-05,1.860049997048918e-05,5.779989078291692e-05,5.5044172768248245e-05,-3.684817056637257e-05,4.110738154849969e-05,11
103,3.905247649527155e-05,4.284888200345449e-05,0.00013851143012288958,0.0001602475967956707,-9.945895726559684e-05,0.00013022823259234428,11
104,1.836230330809485e-05,1.5582667401758954e-05,9.488277282798663e-05,0.00015483985771425068,-7.652046042494476e-05,0.0001455033489037305,11
105,0.00038314677658490837,0.0002801057999022305,0.0001623609714442864,0.000158449009177275,0.00022078584879636765,0.00023813890584278852,11
106,1.374431768397244e-08,2.0112086218659897e-08,6.830075172103989e-09,1.593977927427659e-08,6.9142420677792416e-09,2.6287661825108444e-08,11
